,name,wins,losses,draws,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:
2339,Mike Moreno,6,,-0,"6' 0""",185 lbs.,--,,--,1.27,51%,1.07,58%,,0.00,0%,44%,0.0
2340,Ronny Markes,17,5,0,"6' 1""",185 lbs.,"75""",Orthodox,"Apr 21, 1988",2.17,53%,2.43,45%,,3.13,40%,100%,0.5
2341,Angela Magana,11,9,0,"5' 1""",115 lbs.,"65""",Orthodox,"Aug 02, 1983",1.53,28%,4.92,42%,,0.40,25%,28%,0.4
2342,Juan Miranda,7,,-0,--,155 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2343,Scott Morris,2,,-0,"5' 10""",210 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2344,Darrell Montague,13,5,0,"5' 6""",125 lbs.,"67""",Southpaw,"Nov 03, 1987",1.92,25%,5.38,52%,,0.72,25%,33%,1.4
2345,Mana Martinez,9,,-0,"5' 10""",135 lbs.,"70""",Orthodox,"Mar 25, 1996",3.80,50%,3.55,41%,,0.93,66%,12%,0.9
2346,Shoji Maruyama,12,9,1,"5' 7""",139 lbs.,--,Orthodox,"Apr 24, 1983",1.40,63%,0.27,55%,,0.00,0%,54%,0.0
2347,James Moontasri,9,,-0,"5' 10""",170 lbs.,"71""",Switch,"Apr 10, 1988",2.39,48%,3.86,40%,,0.00,0%,79%,0.2
2348,Danny Mitchell,19,9,1,"6' 2""",170 lbs.,--,Orthodox,"Aug 08, 1986",2.53,49%,2.53,52%,,0.00,0%,100%,3.0
2349,Frank Megallon,2,,-0,"5' 10""",185 lbs.,--,Southpaw,--,1.14,21%,5.32,54%,,0.00,0%,0%,0.0
2350,Adam Meredith,5,,-0,"6' 2""",170 lbs.,--,,--,2.63,50%,2.11,55%,,7.89,100%,100%,7.9
2351,John Makdessi,18,8,0,"5' 8""",155 lbs.,"68""",Orthodox,"May 03, 1985",5.52,50%,4.04,69%,,0.00,0%,85%,0.0
2352,Michael Morales,14,0,0,"6' 0""",170 lbs.,"79""",Orthodox,"Jun 24, 1999",5.36,51%,4.10,40%,,1.98,40%,86%,0.0
2353,Jeremy May,13,1,-0,"6' 1""",185 lbs.,--,,"Oct 23, 1986",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2354,Olivier Murad,6,,-0,"5' 10""",145 lbs.,"72""",Southpaw,"Dec 21, 1993",2.60,36%,2.20,61%,,1.00,100%,55%,0.0
2355,Christina Marks,8,,-0,"5' 7""",125 lbs.,"69""",Orthodox,"Nov 08, 1985",5.00,58%,3.00,64%,,7.50,100%,0%,0.0
2356,Mike Minniger,0,,-0,--,--,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2357,John Matua,1,,-0,"6' 2""",400 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2358,Tomoya Miyashita,17,9,7,"5' 7""",139 lbs.,--,Southpaw,--,1.67,65%,0.93,33%,,4.00,80%,0%,2.0
2359,Tiffany Masters,2,,-0,"5' 3""",115 lbs.,"65""",Orthodox,"Jul 31, 1994",3.53,62%,2.58,50%,,3.06,60%,0%,0.0
2360,James McSweeney,15,1,-0,"6' 4""",230 lbs.,"77""",Switch,"Oct 24, 1980",3.94,55%,4.33,42%,,0.52,33%,100%,1.1
2361,Rory MacDonald,19,4,0,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 22, 1989",3.75,42%,2.80,62%,,1.77,47%,88%,0.4
2362,Jeff Monson,60,2,-1,"5' 9""",247 lbs.,"74""",Orthodox,"Jan 18, 1971",0.97,30%,2.87,59%,,1.06,12%,66%,0.7
2363,Vladimir Matyushenko,27,8,0,"6' 0""",205 lbs.,"74""",Orthodox,"Jan 04, 1971",1.90,44%,1.62,59%,,3.25,46%,70%,0.1
2364,Daijiro Matsui,13,2,-7,"5' 9""",200 lbs.,--,Orthodox,"Dec 05, 1972",0.84,45%,1.69,55%,,1.83,30%,43%,0.4
2365,War Machine,14,5,0,"5' 11""",170 lbs.,--,Orthodox,"Nov 30, 1981",2.32,60%,3.17,43%,,1.16,50%,40%,0.0
2366,Alex Morono,22,7,0,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990",5.36,43%,4.01,57%,,0.32,20%,51%,0.3
2367,Ikuhisa Minowa,60,4,-8,"5' 9""",181 lbs.,--,Orthodox,"Jan 12, 1976",0.88,40%,1.66,49%,,1.82,41%,5%,1.9
2368,Pat Miletich,29,7,2,"5' 10""",170 lbs.,--,Orthodox,"Mar 09, 1968",1.79,45%,1.66,63%,,1.96,100%,54%,1.0
2369,Kazunari Murakami,5,,-0,"6' 1""",220 lbs.,--,Orthodox,"Nov 29, 1973",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2370,Jesse Murray,8,,-0,"6' 3""",205 lbs.,"78""",Orthodox,"Jan 26, 1993",2.38,28%,7.72,43%,,0.00,0%,0%,0.0
2371,Michael McDonald,17,4,0,"5' 9""",135 lbs.,"70""",Orthodox,"Jan 15, 1991",2.69,42%,2.76,57%,,1.09,66%,52%,1.4
2372,Dan Miller,14,8,0,"6' 1""",185 lbs.,"74""",Orthodox,"Jun 30, 1981",2.03,36%,3.06,49%,,1.67,54%,47%,1.8
2373,Garrett Mueller,3,,-0,"5' 9""",135 lbs.,--,,"Jan 29, 1989",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2374,Andre Mussi,11,5,0,"6' 3""",242 lbs.,--,Orthodox,--,0.00,0%,10.59,35%,,0.00,0%,0%,0.0
2375,Julian Marquez,9,,-0,"6' 2""",185 lbs.,"72""",Orthodox,"May 08, 1990",4.18,43%,3.84,51%,,0.00,0%,53%,3.0
2376,Jim Miller,35,1,-0,"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983",2.79,41%,2.93,58%,,1.62,43%,47%,1.8
2377,Stipe Miocic,20,4,0,"6' 4""",240 lbs.,"80""",Orthodox,"Aug 19, 1982",4.82,53%,3.82,54%,,1.86,34%,68%,0.0
2378,Nazareno Malegarie,28,4,0,"5' 8""",155 lbs.,--,,"May 16, 1986",3.87,34%,3.27,69%,,1.00,33%,0%,0.0
2379,Francesco Maturi,0,,-0,--,--,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2380,Jacob Malkoun,6,,-0,"5' 9""",185 lbs.,"73""",Orthodox,"Aug 26, 1995",3.09,58%,2.76,43%,,6.95,38%,0%,0.7
2381,Michael McDonald,1,,-0,"5' 11""",205 lbs.,--,Orthodox,"Feb 06, 1965",0.00,0%,0.40,50%,,0.00,0%,0%,0.0
2382,Bojan Mihajlovic,10,6,0,"5' 11""",205 lbs.,"73""",Orthodox,"Mar 30, 1980",1.23,35%,5.95,47%,,0.00,0%,33%,0.0
2383,Bobby Moffett,13,5,0,"5' 10""",145 lbs.,"73""",Orthodox,"Jun 01, 1990",3.41,39%,3.15,61%,,2.74,66%,66%,1.4
2384,Gan McGee,13,5,0,"6' 10""",265 lbs.,--,Orthodox,"Nov 20, 1976",2.20,29%,2.31,59%,,0.65,25%,83%,0.0
2385,Thiago Moises,16,6,0,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 23, 1995",2.48,37%,4.02,56%,,1.11,36%,60%,1.2
2386,Bryce Mitchell,15,1,0,"5' 10""",145 lbs.,"70""",Southpaw,"Oct 04, 1994",2.28,63%,1.39,59%,,3.40,52%,33%,1.9
2387,Mark Madsen,12,0,0,"5' 8""",155 lbs.,"72""",Orthodox,"Sep 23, 1984",3.77,47%,3.92,55%,,3.90,66%,50%,0.0
2388,Charles McCarthy,10,5,0,"5' 10""",185 lbs.,"71""",Orthodox,"Aug 06, 1980",0.18,12%,4.03,56%,,2.67,60%,0%,2.7
2389,Anthony Morrison,20,1,-0,"5' 7""",145 lbs.,--,Orthodox,"Mar 29, 1984",1.70,33%,0.49,80%,,0.00,0%,50%,0.0
2390,Mike Malott,8,,-1,"6' 1""",170 lbs.,"73""",Orthodox,"Nov 07, 1991",5.02,40%,4.19,54%,,1.55,33%,0%,0.8
2391,Ian Murphy,1,,-0,"6' 1""",185 lbs.,--,Orthodox,"Jun 14, 1985",0.00,0%,1.93,30%,,4.13,100%,0%,0.0
2392,Anthony Macias,26,1,-0,"5' 9""",185 lbs.,--,Switch,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2393,Mario Miranda,14,7,0,"6' 3""",185 lbs.,"74""",Orthodox,"Jul 12, 1979",1.96,54%,2.46,36%,,1.02,60%,54%,0.0
2394,Joe Moreira,2,,-0,"5' 11""",195 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2395,Kanako Murata,12,2,0,"5' 1""",115 lbs.,"62""",Orthodox,"Aug 10, 1993",2.08,59%,2.60,53%,,2.40,40%,0%,1.2
2396,Reza Madadi,14,6,0,"5' 11""",155 lbs.,"73""",Orthodox,"Jun 20, 1978",2.51,46%,3.31,66%,,3.17,33%,89%,0.5
2397,Todd Moore,16,7,0,"5' 9""",170 lbs.,"71""",Southpaw,"Dec 30, 1983",1.83,26%,2.30,57%,,0.78,14%,54%,0.0
2398,Ryuichi Murata,8,,-1,"5' 8""",183 lbs.,--,Orthodox,--,0.84,36%,1.89,50%,,4.74,50%,100%,3.2
2399,Liam McGeary,12,2,0,"6' 6""",205 lbs.,--,,"Oct 04, 1982",1.28,48%,1.92,50%,,0.51,100%,0%,2.5
2400,Homer Moore,26,9,2,"5' 10""",205 lbs.,--,Orthodox,"Nov 27, 1971",0.68,50%,0.68,0%,,5.07,66%,0%,0.0
2401,Melvin Manhoef,30,1,-1,"5' 9""",185 lbs.,--,Orthodox,"May 11, 1976",3.52,48%,2.64,51%,,0.33,25%,78%,0.0
2402,Marvin Maldonado,2,,-0,"5' 6""",135 lbs.,--,,--,0.87,56%,3.47,43%,,0.00,0%,20%,0.0
2403,Ibragim Magomedov,22,8,1,"6' 0""",250 lbs.,--,Orthodox,--,0.26,4%,3.86,42%,,0.00,0%,0%,0.0
2404,Joe Merritt,7,,-0,"6' 0""",170 lbs.,--,Orthodox,"Mar 07, 1984",1.53,58%,0.73,66%,,0.00,0%,68%,0.0
2405,Pauline Macias,4,,-0,"5' 4""",115 lbs.,"64""",Southpaw,"Jun 27, 1988",0.80,29%,4.60,42%,,2.00,18%,0%,0.0
2406,Cesar Marscucci,3,,-0,--,--,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2407,Azamat Murzakanov,12,0,0,"5' 10""",205 lbs.,"71""",Southpaw,"Apr 12, 1989",4.63,60%,2.44,62%,,0.60,14%,0%,0.0
2408,Askar Mozharov,19,1,-0,"6' 3""",205 lbs.,"74""",Orthodox,"Oct 26, 1994",0.43,18%,4.07,13%,,0.00,0%,33%,0.0
2409,Ashkan Mokhtarian,13,3,0,"5' 6""",125 lbs.,"67""",Southpaw,"Sep 15, 1985",1.95,43%,3.66,43%,,0.54,16%,33%,0.0
2410,Makhmud Muradov,25,7,0,"6' 2""",185 lbs.,"75""",Orthodox,"Feb 08, 1990",5.39,42%,3.17,61%,,0.31,16%,80%,0.3
2411,Patrick Murphy,5,,-0,"6' 0""",170 lbs.,--,,--,3.40,66%,0.80,42%,,0.00,0%,50%,1.0
2412,William Macario,9,,-0,"5' 11""",170 lbs.,"75""",Orthodox,"Jul 01, 1991",4.92,54%,3.96,65%,,1.85,45%,78%,0.0
2413,Al Matavao,8,,-0,"5' 8""",205 lbs.,"67""",Orthodox,"Feb 23, 1994",7.84,46%,6.70,58%,,0.00,0%,0%,0.0
2414,Brian Melancon,7,,-0,"5' 8""",170 lbs.,--,Orthodox,"May 28, 1982",4.18,49%,3.64,64%,,2.02,100%,66%,0.0
2415,Bobby McAndrews,1,,-0,--,--,--,Orthodox,--,2.56,83%,1.03,50%,,0.00,0%,33%,7.7
2416,Tamdan McCrory,14,5,0,"6' 4""",185 lbs.,"76""",Switch,"Nov 05, 1986",2.07,49%,1.60,46%,,2.28,50%,33%,2.5
2417,Curtis Millender,17,5,0,"6' 2""",170 lbs.,"76""",Orthodox,"Dec 01, 1987",3.86,46%,2.95,61%,,0.43,100%,57%,0.0
2418,Garreth McLellan,13,6,0,"6' 1""",185 lbs.,"72""",Southpaw,"Sep 01, 1982",3.56,54%,2.94,45%,,1.15,22%,34%,0.9
2419,Jonathan Martinez,16,4,0,"5' 8""",135 lbs.,"70""",Southpaw,"Apr 20, 1994",4.72,48%,3.77,60%,,0.54,50%,73%,0.0
2420,Miranda Maverick,12,4,0,"5' 3""",125 lbs.,"65""",Southpaw,"Jul 01, 1997",3.62,41%,2.69,59%,,2.10,61%,44%,0.3
2421,Eddy Millis,0,,-0,"6' 1""",185 lbs.,--,,--,0.00,0%,3.36,22%,,0.00,0%,0%,7.2
2422,Rob MacDonald,5,,-0,"6' 3""",205 lbs.,"78""",Orthodox,"Sep 05, 1978",1.80,50%,2.04,46%,,7.19,80%,80%,5.4
2423,AJ McKee,8,,-0,"5' 10""",145 lbs.,--,,--,2.75,32%,0.92,80%,,11.01,100%,100%,11.0
2424,Max Mustaki,6,,-0,"6' 0""",155 lbs.,--,Orthodox,"Nov 07, 1987",8.20,50%,13.00,45%,,0.00,0%,0%,0.0
2425,Conor McGregor,22,6,0,"5' 9""",155 lbs.,"74""",Southpaw,"Jul 14, 1988",5.32,49%,4.66,54%,,0.67,55%,66%,0.1
2426,Jason Medina,21,1,-1,"5' 9""",180 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2427,Brandon Michaels,4,,4-0,"5' 9""",185 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2428,Keith Mielke,0,,-0,"5' 8""",185 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2429,Jonathan  Mix,7,,-0,"6' 0""",168 lbs.,--,,"Nov 09, 1980",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2430,Johnny Munoz,11,2,0,"5' 9""",135 lbs.,"71""",Orthodox,"Feb 16, 1993",2.74,41%,1.39,67%,,2.53,20%,0%,2.5
2431,Rhys McKee,10,4,1,"6' 2""",170 lbs.,"78""",Orthodox,"Sep 10, 1995",6.83,53%,11.90,43%,,0.00,0%,20%,0.0
2432,Lyoto Machida,24,8,0,"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978",2.59,53%,1.57,61%,,1.21,65%,75%,0.4
2433,Andrew Martinez,9,,-0,"5' 9""",215 lbs.,--,,--,3.40,31%,2.30,47%,,1.50,50%,0%,0.0
2434,Alexander Munoz,6,,-0,"5' 9""",155 lbs.,"72""",Switch,"Feb 27, 1990",3.96,43%,5.49,52%,,3.00,39%,0%,0.0
2435,Chris Mickle,30,2,-2,"5' 9""",145 lbs.,--,Orthodox,"Jul 10, 1983",3.03,27%,9.70,48%,,0.00,0%,0%,0.0
2436,Lauren Mueller,5,,-0,"5' 5""",125 lbs.,"67""",Orthodox,"Nov 15, 1991",4.08,41%,3.77,58%,,0.70,50%,71%,0.0
2437,Lolohea Mahe,10,4,1,--,--,--,,--,1.71,29%,6.92,40%,,2.44,40%,0%,0.0
2438,Andy Murad,15,2,0,"5' 9""",185 lbs.,--,,--,2.60,76%,2.87,32%,,1.00,20%,42%,0.0
2439,Marlon Moraes,23,1,-1,"5' 6""",135 lbs.,"67""",Orthodox,"Apr 26, 1988",3.37,40%,4.53,54%,,0.87,41%,46%,0.3
2440,Alonzo Martinez,42,2,-1,"5' 10""",155 lbs.,--,,"Apr 22, 1984",3.07,27%,7.33,52%,,0.00,0%,0%,0.0
2441,Cristiano Marcello,13,6,0,"5' 9""",155 lbs.,"72""",Orthodox,"Dec 03, 1977",2.56,33%,3.61,58%,,0.44,11%,20%,0.9
2442,Abubakar Nurmagomedov,16,3,1,"5' 11""",170 lbs.,"72""",Orthodox,"Nov 13, 1989",3.59,49%,2.52,69%,,1.68,33%,0%,0.0
2443,Khabib Nurmagomedov,29,0,0,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 20, 1988",4.10,48%,1.75,65%,,5.32,48%,84%,0.8
2444,Yusaku Nakamura,14,4,1,"5' 5""",145 lbs.,--,,"Jun 21, 1986",1.72,45%,3.67,55%,,0.00,0%,83%,0.0
2445,Shayilan Nuerdanbieke,38,1,-0,"5' 8""",145 lbs.,"69""",Orthodox,"May 04, 1994",1.80,42%,2.89,49%,,3.00,32%,40%,0.0
2446,Josh Neal,5,,1-0,"6' 0""",185 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2447,Kevin Natividad,9,,-0,"5' 6""",145 lbs.,"70""",Orthodox,"Apr 02, 1993",2.63,24%,4.02,54%,,0.00,0%,100%,0.0
2448,Rafael Natal,21,9,1,"6' 0""",185 lbs.,"77""",Orthodox,"Dec 25, 1982",3.10,47%,2.48,57%,,2.55,34%,77%,0.5
2449,Said Nurmagomedov,16,2,0,"5' 8""",135 lbs.,"70""",Orthodox,"Apr 05, 1992",4.15,46%,2.20,61%,,0.61,10%,70%,0.3
2450,Mario Neto,13,5,0,"6' 0""",229 lbs.,--,Orthodox,--,1.89,50%,1.89,70%,,2.84,100%,0%,0.0
2451,Steve Nelmark,2,,-0,"6' 0""",240 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2452,Pawel Nastula,5,,-0,"6' 0""",230 lbs.,--,Southpaw,"Jun 26, 1970",1.30,43%,1.73,50%,,3.00,60%,0%,1.5
2453,Julio Cesar Neves Jr.,33,1,0,"5' 8""",145 lbs.,--,,"Apr 25, 1994",1.98,35%,4.81,51%,,1.06,25%,76%,0.0
2454,Matheus Nicolau,18,3,1,"5' 6""",125 lbs.,"66""",Orthodox,"Jan 06, 1993",3.64,52%,3.09,67%,,1.46,42%,93%,1.0
2455,Stanislav Nedkov,12,2,0,"5' 11""",205 lbs.,"71""",Orthodox,"Dec 09, 1981",3.33,43%,5.39,43%,,2.77,41%,0%,0.0
2456,Eduardo Neves,5,,-0,"6' 2""",265 lbs.,"78""",Orthodox,"Mar 16, 2000",8.21,69%,3.59,46%,,15.38,100%,0%,0.0
2457,Derrick Noble,27,1,-1,"5' 9""",170 lbs.,--,Southpaw,"Aug 14, 1978",6.21,40%,3.79,59%,,0.00,0%,0%,0.0
2458,Ramsey Nijem,9,,-0,"5' 11""",155 lbs.,"75""",Orthodox,"Apr 01, 1988",3.05,44%,1.62,62%,,5.32,62%,55%,1.1
2459,Allan Nascimento,19,6,0,"5' 8""",125 lbs.,"69""",Orthodox,"Sep 11, 1991",3.31,61%,2.38,50%,,1.00,20%,16%,0.7
2460,Alex Nicholson,7,,-0,"6' 4""",185 lbs.,"77""",Orthodox,"May 02, 1990",4.12,43%,4.65,47%,,0.00,0%,50%,0.5
2461,Umar Nurmagomedov,15,0,0,"5' 8""",135 lbs.,"69""",Orthodox,"Mar 01, 1996",4.35,70%,0.37,85%,,5.02,45%,0%,1.1
2462,Guangyou Ning,5,,-1,"5' 4""",145 lbs.,"64""",Southpaw,"Dec 15, 1981",2.66,41%,1.91,61%,,1.09,50%,62%,0.3
2463,Shane Nelson,16,7,0,"5' 9""",155 lbs.,"70""",Southpaw,"Nov 29, 1984",1.38,31%,2.84,61%,,1.31,18%,54%,1.6
2464,Fabio Nascimento,11,6,0,"5' 10""",185 lbs.,--,Orthodox,--,2.94,38%,4.63,55%,,0.00,0%,55%,0.8
2465,Kyle Nelson,13,5,0,"5' 11""",155 lbs.,"71""",Switch,"Apr 20, 1991",3.34,46%,5.39,47%,,0.65,10%,63%,1.3
2466,Mike Nickels,9,,-0,"6' 4""",205 lbs.,--,Orthodox,"Dec 13, 1971",4.44,52%,1.11,64%,,11.11,80%,0%,2.8
2467,Greg Nagy,1,,-0,"6' 1""",210 lbs.,--,Orthodox,"Oct 18, 1983",0.41,50%,2.69,37%,,0.00,0%,0%,1.2
2468,Bo Nickal,2,,-0,"6' 1""",185 lbs.,"75""",Southpaw,"Jan 14, 1996",1.94,66%,0.00,0%,,29.03,100%,0%,29.0
2469,Roger Narvaez,8,,-0,"6' 3""",185 lbs.,--,Southpaw,"Sep 09, 1983",2.12,37%,3.32,64%,,0.00,0%,50%,0.9
2470,Diego Nunes,19,7,0,"5' 6""",145 lbs.,"67""",Orthodox,"Nov 30, 1982",2.72,43%,2.59,58%,,1.18,44%,65%,0.6
2471,Jaimelene Nievera,7,,-0,"5' 5""",125 lbs.,--,Orthodox,"Oct 28, 1984",1.67,53%,8.73,33%,,1.79,16%,0%,0.0
2472,Roy Nelson,22,1,-0,"6' 0""",263 lbs.,"73""",Orthodox,"Jun 20, 1976",2.18,36%,4.79,46%,,1.14,27%,65%,0.1
2473,Jason Novelli,11,3,1,"6' 0""",155 lbs.,--,Orthodox,"Jun 08, 1979",1.73,24%,3.55,66%,,0.70,33%,100%,0.0
2474,Rose Namajunas,12,5,0,"5' 5""",115 lbs.,"65""",Orthodox,"Jun 29, 1992",3.66,40%,3.50,60%,,1.61,57%,60%,0.6
2475,Logan Nail,1,,-0,--,185 lbs.,--,,"Jun 20, 1989",1.93,51%,2.27,39%,,0.00,0%,37%,0.0
2476,Hans Nijman,9,,-0,"6' 0""",250 lbs.,--,Switch,"Oct 23, 1959",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2477,Kyle Noblitt,11,2,0,"6' 2""",243 lbs.,--,,"Dec 26, 1989",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2478,Alexandre Franca Nogueira,18,6,3,"5' 7""",145 lbs.,--,Orthodox,"Jan 15, 1978",0.60,20%,4.18,57%,,0.00,0%,0%,0.0
2479,Khomkrit Niimi,6,,0-0,"5' 2""",125 lbs.,--,,--,0.00,0%,5.73,44%,,0.00,0%,0%,0.0
2480,Marcio Navarro,14,1,-0,"6' 0""",155 lbs.,--,,"Sep 17, 1978",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2481,Jack Nilson,2,,-0,--,--,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2482,Joe Neal,6,,-0,"5' 6""",135 lbs.,--,,"Jul 29, 1986",1.87,19%,3.80,66%,,0.00,0%,0%,0.0
2483,Yosuke Nishijima,0,,-0,"5' 9""",205 lbs.,--,Orthodox,"May 15, 1973",1.72,37%,5.59,56%,,0.00,0%,0%,0.0
2484,Tom Niinimaki,22,8,1,"5' 9""",145 lbs.,"69""",Orthodox,"Jul 25, 1982",1.91,54%,2.31,58%,,2.97,46%,33%,0.5
2485,Yasuhito Namekawa,25,1,-4,"5' 9""",205 lbs.,--,Orthodox,"Oct 27, 1974",0.14,50%,3.65,38%,,2.11,25%,0%,4.2
2486,Danny Navarro,17,7,0,"5' 10""",155 lbs.,--,,"May 27, 1983",3.83,32%,4.62,57%,,2.17,25%,100%,0.0
2487,Phillipe Nover,11,8,1,"5' 9""",145 lbs.,"72""",Orthodox,"Feb 03, 1984",1.79,35%,2.48,56%,,0.99,28%,44%,0.7
2488,Keita Nakamura,34,1,-2,"5' 11""",170 lbs.,"73""",Southpaw,"May 22, 1984",2.23,36%,3.20,58%,,1.65,48%,63%,0.3
2489,Soichi Nishida,5,,0-1,"5' 11""",320 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2490,Josiane Nunes,9,,-0,"5' 2""",145 lbs.,"67""",Southpaw,"Dec 23, 1993",7.54,42%,4.37,52%,,0.00,0%,70%,0.0
2491,Steven Nguyen,8,,-0,"5' 11""",145 lbs.,"73""",Switch,"May 19, 1993",7.36,43%,7.47,56%,,0.00,0%,77%,0.0
2492,Ismail Naurdiev,19,4,0,"5' 10""",170 lbs.,"74""",Orthodox,"Aug 18, 1996",3.17,52%,1.30,68%,,1.25,71%,70%,0.2
2493,Tafon Nchukwi,6,,-0,"6' 0""",205 lbs.,"77""",Orthodox,"Oct 14, 1994",6.05,52%,4.03,55%,,0.94,57%,71%,0.0
2494,Shohei Nose,9,,-2,"5' 6""",135 lbs.,"68""",Switch,"Oct 19, 1997",4.93,50%,0.82,66%,,0.00,0%,0%,0.0
2495,Anthony Njokuani,16,1,-0,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 01, 1980",3.94,46%,2.41,65%,,0.50,45%,53%,0.2
2496,Akiyo Nishiura,13,8,1,"5' 8""",139 lbs.,--,Southpaw,"Aug 08, 1983",1.59,57%,1.26,57%,,0.00,0%,52%,0.3
2497,Tyson Nam,21,1,-1,"5' 7""",125 lbs.,"68""",Orthodox,"Oct 06, 1983",3.68,32%,5.66,64%,,0.00,0%,100%,0.0
2498,Kyle Noke,22,1,-1,"6' 1""",170 lbs.,"76""",Southpaw,"Mar 18, 1980",3.23,50%,2.09,64%,,1.53,54%,66%,0.8
2499,Rogerio Nogueira,23,1,-0,"6' 2""",205 lbs.,"75""",Southpaw,"Jun 02, 1976",2.43,35%,2.34,59%,,0.64,44%,62%,0.8
2500,Nasrudin Nasrudinov,9,,-0,"6' 0""",205 lbs.,"71""",Orthodox,"Oct 06, 1991",1.03,87%,0.29,75%,,2.20,50%,40%,0.0
2501,Nad Narimani,12,4,0,"5' 8""",145 lbs.,"70""",Orthodox,"Apr 14, 1987",3.33,42%,3.00,58%,,1.92,41%,70%,0.0
2502,Journey Newson,10,3,0,"5' 5""",135 lbs.,"67""",Orthodox,"Mar 07, 1989",3.26,36%,2.62,64%,,0.96,50%,0%,0.5
2503,Andrews Nakahara,5,,-2,"6' 1""",185 lbs.,--,Orthodox,"Mar 12, 1983",2.68,44%,1.90,57%,,0.00,0%,72%,0.4
2504,Yukiya Naito,15,6,2,"6' 1""",205 lbs.,--,Orthodox,--,1.54,33%,5.13,60%,,0.00,0%,0%,0.0
2505,Bobby Nash,8,,-0,"6' 0""",170 lbs.,"74""",Orthodox,"Mar 26, 1990",3.42,37%,3.95,51%,,2.37,33%,100%,1.6
2506,Amanda Nunes,22,5,0,"5' 8""",135 lbs.,"69""",Orthodox,"May 30, 1988",4.40,51%,2.75,55%,,2.61,56%,82%,0.8
2507,Ben Nguyen,16,8,0,"5' 5""",125 lbs.,"65""",Switch,"Aug 03, 1988",3.51,40%,3.01,59%,,0.25,33%,63%,1.0
2508,Kennedy Nzechukwu,10,3,0,"6' 5""",205 lbs.,"83""",Southpaw,"Jun 13, 1992",4.68,44%,4.36,51%,,0.79,62%,81%,0.2
2509,Nicolae Negumereanu,13,1,0,"6' 0""",205 lbs.,"78""",Orthodox,"Sep 04, 1994",3.79,41%,5.69,39%,,1.09,28%,62%,0.0
2510,Francis Ngannou,17,3,0,"6' 4""",250 lbs.,"83""",Orthodox,"Sep 05, 1986",2.33,41%,2.16,41%,,0.76,62%,71%,0.3
2511,Muhammad Naimov,5,,-0,"5' 9""",145 lbs.,"70""",Orthodox,"Aug 07, 1994",3.47,41%,5.87,44%,,0.00,0%,25%,0.0
2512,Jeff Newton,4,,-0,"6' 2""",205 lbs.,--,Sideways,"Dec 11, 1966",0.28,20%,1.41,52%,,0.00,0%,0%,8.5
2513,Carlos Newton,16,1,-0,"5' 9""",170 lbs.,--,Orthodox,"Aug 17, 1976",0.65,41%,1.55,44%,,2.47,70%,43%,0.9
2514,Jutaro Nakao,25,1,-4,"5' 9""",170 lbs.,--,Southpaw,"Nov 30, 1970",0.53,38%,1.06,44%,,0.38,50%,56%,0.0
2515,Jacob Noe,3,,1-0,--,205 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
2516,Jonatas Novaes,13,5,0,"5' 11""",170 lbs.,--,,"Mar 02, 1981",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
